"","time","author","title","link"
"26","2020-10-08 07:07:00","Portfolio","Így reagált Biden és Trump a ma hajnali alelnökjelölti vitára","https://www.portfolio.hu/gazdasag/20201008/igy-reagalt-biden-es-trump-a-ma-hajnali-alelnokjelolti-vitara-451974"
"27","2020-10-06 10:06:00","Portfolio","Kiszivárgott: jön a héten egy jelentés, amiben feldaraboltatnák a Facebookot és a Google-t","https://www.portfolio.hu/uzlet/20201006/kiszivargott-jon-a-heten-egy-jelentes-amiben-feldaraboltatnak-a-facebookot-es-a-google-t-451678"
"28","2020-10-05 16:34:00","Portfolio","Együttmûködési megállapodást írt alá az OTP a  Délkelet-európai Rendészeti Központtal","https://www.portfolio.hu/bank/20201005/egyuttmukodesi-megallapodast-irt-ala-az-otp-a-delkelet-europai-rendeszeti-kozponttal-451586"
"29","2020-10-03 16:30:00","Portfolio","Sztárok a tõzsdéken, akik profikat megszégyenítõ befektetõk","https://www.portfolio.hu/uzlet/20201003/sztarok-a-tozsdeken-akik-profikat-megszegyenito-befektetok-451336"
"30","2020-10-02 13:30:00","Portfolio","Újra rátenyerelt egy tõzsdei bálna a nagy vételi gombra","https://www.portfolio.hu/uzlet/20201002/ujra-ratenyerelt-egy-tozsdei-balna-a-nagy-veteli-gombra-451288"
"31","2020-09-30 14:05:00","Huszák Dániel","Több milliárd háztartási eszköz várja teljesen védtelenül, hogy hackerek áldozatává váljon","https://www.portfolio.hu/gazdasag/20200930/tobb-milliard-haztartasi-eszkoz-varja-teljesen-vedtelenul-hogy-hackerek-aldozatava-valjon-450868"
"32","2020-09-28 13:57:00","Portfolio","„Cash is King?” – Készpénz tartására buzdít a stratéga","https://www.portfolio.hu/uzlet/20200928/cash-is-king-keszpenz-tartasara-buzdit-a-stratega-450512"
"33","2020-09-27 16:00:00","Portfolio","Az értékalapú befektetés tényleg már csak a múlt?","https://www.portfolio.hu/uzlet/20200927/az-ertekalapu-befektetes-tenyleg-mar-csak-a-mult-450258"
"34","2020-09-24 09:28:00","Portfolio","Most kell bevásárolni a nagy technológiai papírokból a guru szerint","https://www.portfolio.hu/uzlet/20200924/most-kell-bevasarolni-a-nagy-technologiai-papirokbol-a-guru-szerint-450020"
"35","2020-09-24 07:00:00","Portfolio","Fidelity: A fenntarthatóság nem minden, a digitális etika is fontos a vállalatok értékelésében","https://www.portfolio.hu/uzlet/20200924/fidelity-a-fenntarthatosag-nem-minden-a-digitalis-etika-is-fontos-a-vallalatok-ertekeleseben-449880"
"36","2020-09-24 06:45:00","Portfolio","Hogyan használják a profik a Google keresõjét befektetésekhez és gazdasági elõrejelzéshez?","https://www.portfolio.hu/uzlet/20200924/hogyan-hasznaljak-a-profik-a-google-keresojet-befektetesekhez-es-gazdasagi-elorejelzeshez-449260"
"37","2020-09-23 15:19:00","Portfolio","Újabb részvénykibocsátás a magyar tõzsdén - Itt vannak a részletek","https://www.portfolio.hu/uzlet/20200923/ujabb-reszvenykibocsatas-a-magyar-tozsden-itt-vannak-a-reszletek-449914"
"38","2020-09-22 15:00:00","Weinhardt Attila","Koronavírus: különutas tesztelési gyakorlatot folytat Magyarország – Hová vezet mindez?","https://www.portfolio.hu/gazdasag/20200922/koronavirus-kulonutas-tesztelesi-gyakorlatot-folytat-magyarorszag-hova-vezet-mindez-449730"
"39","2020-09-21 13:30:00","Turzó Ádám Pál","Pár hónap, és alaposan megváltozik, hogyan fizetünk az e-kereskedõknél","https://www.portfolio.hu/bank/20200921/par-honap-es-alaposan-megvaltozik-hogyan-fizetunk-az-e-kereskedoknel-449460"
"40","2020-09-21 06:02:00","Portfolio","Ki tud bújni holnap a csapdahelyzetbõl az MNB?","https://www.portfolio.hu/gazdasag/20200921/ki-tud-bujni-holnap-a-csapdahelyzetbol-az-mnb-449326"
"41","2020-09-16 17:00:00","Portfolio","Kötelezõ olvasmány lett a Reddit és a Twitter a Wall Street-i befektetõknek","https://www.portfolio.hu/befektetes/20200916/kotelezo-olvasmany-lett-a-reddit-es-a-twitter-a-wall-street-i-befektetoknek-448926"
"42","2020-09-11 18:00:00","Portfolio","Közös fellépést hirdettek a szuperpénzekkel szemben Európa nagy gazdaságai","https://www.portfolio.hu/uzlet/20200911/kozos-fellepest-hirdettek-a-szuperpenzekkel-szemben-europa-nagy-gazdasagai-448418"
"43","2020-09-11 15:40:00","Portfolio","Egy világot átalakító forradalom küszöbén állunk, így lehet megjátszani a tõzsdén","https://www.portfolio.hu/gazdasag/20200911/egy-vilagot-atalakito-forradalom-kuszoben-allunk-igy-lehet-megjatszani-a-tozsden-448182"
"44","2020-09-08 10:31:00","Portfolio","Újabb részvénykibocsátás jön a magyar tõzsdén","https://www.portfolio.hu/uzlet/20200908/ujabb-reszvenykibocsatas-jon-a-magyar-tozsden-447780"
"45","2020-09-07 13:00:00","Portfolio","Egy forradalom küszöbén állunk, izgalmas befektetési lehetõségekre van kilátás","https://www.portfolio.hu/uzlet/20200907/egy-forradalom-kuszoben-allunk-izgalmas-befektetesi-lehetosegekre-van-kilatas-447600"
"46","2020-09-06 08:20:00","Portfolio","Remekül teljesítettek eddig idén az újonnan tõzsdére vitt vállalatok","https://www.portfolio.hu/uzlet/20200906/remekul-teljesitettek-eddig-iden-az-ujonnan-tozsdere-vitt-vallalatok-447392"
"47","2020-09-05 11:00:00","Lovászy László","Az agyimplantátum, ami megváltoztathatja a gondolkodásunkat is","https://www.portfolio.hu/gazdasag/20200905/az-agyimplantatum-ami-megvaltoztathatja-a-gondolkodasunkat-is-446682"
"48","2020-09-02 06:29:00","Turzó Ádám Pál","Õrült tempóba kapcsolt a nagyvállalati digitalizáció Magyarországon, és ez még csak a kezdet","https://www.portfolio.hu/bank/20200902/orult-tempoba-kapcsolt-a-nagyvallalati-digitalizacio-magyarorszagon-es-ez-meg-csak-a-kezdet-446798"
"49","2020-08-31 15:00:00","Portfolio","Együtt kell menni a csordával a tõzsdéken, nincs más választás","https://www.portfolio.hu/uzlet/20200831/egyutt-kell-menni-a-csordaval-a-tozsdeken-nincs-mas-valasztas-446638"
"50","2020-08-28 13:13:00","Portfolio","Dotcom lufi szinteket közelít egy fontos tõzsdei indikátor","https://www.portfolio.hu/uzlet/20200828/dotcom-lufi-szinteket-kozelit-egy-fontos-tozsdei-indikator-446350"
"51","2020-08-06 09:59:00","Portfolio","Kisebb atombomba erejével robbant fel Bejrút városa","https://www.portfolio.hu/uzlet/20200806/kisebb-atombomba-erejevel-robbant-fel-bejrut-varosa-443860"
"52","2020-08-04 14:10:00","Ditróy Gergely","Ez forgatja fel az ingatlanpiac egyik nélkülözhetetlen területét","https://www.portfolio.hu/ingatlan/20200804/ez-forgatja-fel-az-ingatlanpiac-egyik-nelkulozhetetlen-teruletet-442998"
"53","2020-08-01 11:25:00","Portfolio","Sorra dõlnek be a pénzügyi forradalmárok, mi áll a háttérben?","https://www.portfolio.hu/bank/20200801/sorra-dolnek-be-a-penzugyi-forradalmarok-mi-all-a-hatterben-442648"
"54","2020-07-30 14:36:00","Portfolio","Óriási lemaradást kezdtek ledolgozni a magyar kisvállalkozások","https://www.portfolio.hu/gazdasag/20200730/oriasi-lemaradast-kezdtek-ledolgozni-a-magyar-kisvallalkozasok-442984"
"55","2020-07-25 11:00:00","Portfolio","Ünneplés után az elsõ kérdés: Hol fog lakni az egyetemista gyerek és mennyibe fog ez fájni Budapesten, vagy épp vidéken?","https://www.portfolio.hu/ingatlan/20200725/unneples-utan-az-elso-kerdes-hol-fog-lakni-az-egyetemista-gyerek-es-mennyibe-fog-ez-fajni-budapesten-vagy-epp-videken-442366"
"56","2020-07-20 15:18:00","Portfolio","Íme 14 részvény, ami a koronavírus-válság nyertese lehet","https://www.portfolio.hu/uzlet/20200720/ime-14-reszveny-ami-a-koronavirus-valsag-nyertese-lehet-441650"
"57","2020-06-28 11:53:00","Portfolio","Egyre bõvül a lista: a legnagyobbak is csatlakoznak a lázadáshoz a Facebook ellen","https://www.portfolio.hu/uzlet/20200628/egyre-bovul-a-lista-a-legnagyobbak-is-csatlakoznak-a-lazadashoz-a-facebook-ellen-439022"
"58","2020-06-26 11:03:00","Portfolio","A vírus után az önkormányzat is egy hatalmas gyomrost adott a bulinegyednek","https://www.portfolio.hu/ingatlan/20200626/a-virus-utan-az-onkormanyzat-is-egy-hatalmas-gyomrost-adott-a-bulinegyednek-438822"
"59","2020-06-21 15:30:00","Portfolio","Valaki még bezárkózva retteg, néhány turistaparadicsom viszont már tárt karokkal várja a külföldieket","https://www.portfolio.hu/ingatlan/20200621/valaki-meg-bezarkozva-retteg-nehany-turistaparadicsom-viszont-mar-tart-karokkal-varja-a-kulfoldieket-437904"
"60","2020-06-18 10:07:00","Hardi Zsuzsanna, MNB, Szapáry György, MNB","Gazdasági intézkedések a koronavírus ellen: nemzetközi összehasonlítás","https://www.portfolio.hu/gazdasag/20200618/gazdasagi-intezkedesek-a-koronavirus-ellen-nemzetkozi-osszehasonlitas-437398"
"61","2020-06-13 13:00:00","Portfolio","Új szegmensre lõnek a gazdagok bankárai – Már nem az álomvagyon a lényeg","https://www.portfolio.hu/befektetes/20200613/uj-szegmensre-lonek-a-gazdagok-bankarai-mar-nem-az-alomvagyon-a-lenyeg-436562"
"62","2020-06-13 06:30:00","Portfolio","Van, aki hónapok óta szenved: a koronavírus tünetei és kezelése","https://www.portfolio.hu/gazdasag/20200613/van-aki-honapok-ota-szenved-a-koronavirus-tunetei-es-kezelese-436374"
"63","2020-06-12 13:10:00","Portfolio","Mutatjuk, hogy merre mennek tovább az amerikai tõzsdék egy ekkora esés után","https://www.portfolio.hu/uzlet/20200612/mutatjuk-hogy-merre-mennek-tovabb-az-amerikai-tozsdek-egy-ekkora-eses-utan-436734"
"64","2020-06-11 20:52:00","MTI","Spanyolország nem tesz eleget az EU kérésének: egy jó darabig marad a határzár","https://www.portfolio.hu/uzlet/20200611/spanyolorszag-nem-tesz-eleget-az-eu-keresenek-egy-jo-darabig-marad-a-hatarzar-436666"
"65","2020-06-09 10:38:00","Portfolio","Itt az új hidegháború: Kína az Egyesült Államok szövetségeseit veheti célba","https://www.portfolio.hu/gazdasag/20200609/itt-az-uj-hideghaboru-kina-az-egyesult-allamok-szovetsegeseit-veheti-celba-436156"
"66","2020-06-04 19:57:00","Portfolio","Kásler tanácsadója bemondta, mikor tûnhet el teljesen a vírus és így a maszkviselés","https://www.portfolio.hu/gazdasag/20200604/kasler-tanacsadoja-bemondta-mikor-tunhet-el-teljesen-a-virus-es-igy-a-maszkviseles-435540"
"67","2020-05-28 15:00:00","Portfolio","Ezek lesznek a jövõ befektetései – Jól járhat, aki most türelmes","https://www.portfolio.hu/befektetes/20200528/ezek-lesznek-a-jovo-befektetesei-jol-jarhat-aki-most-turelmes-434136"
"68","2020-05-26 17:16:00","MTI","Gigantikus beruházásra készül a kínai Tencent","https://www.portfolio.hu/uzlet/20200526/gigantikus-beruhazasra-keszul-a-kinai-tencent-434010"
"69","2020-05-25 16:55:00","Portfolio","Hihetetlen erõvel törnek fel a koronavírus-válság nagy nyertesei","https://www.portfolio.hu/uzlet/20200525/hihetetlen-erovel-tornek-fel-a-koronavirus-valsag-nagy-nyertesei-433692"
