name,points,division,age,won,lost,draw,stance,residence_city,residence_country,rank,stars,last6,last5,last4,last3,last2,last1
Sven Elbir,3.027,middle,26,17,1,0,orthodox,Wedding, Germany,1549,2,L,W,W,W,W,W
Luke Boyd,3.024,super bantam,33,9,0,0,orthodox,Sydney, Australia,1550,2,W,W,W,W,W,W
Kazuma Sanpei,3.019,super feather,25,19,6,0,southpaw,NA,Japan,1551,2,L,W,W,W,W,L
Eric Molina,3.018,heavy,38,27,6,0,orthodox,Weslaco, USA,1552,2,W,L,W,L,W,L
Darmani Rock,3.018,heavy,24,17,0,0,orthodox,Philadelphia, USA,1553,2,W,W,W,W,W,W
Evgeny Terentiev*,3.016,middle,28,16,3,0,southpaw,Saint Petersburg, Russia,1554,2,W,W,L,W,L,W
Abdessamad Nechchad,3.004,super light,26,11,2,1,orthodox,Granada, Spain,1555,2,W,W,L,W,W,W
Nobuyuki Shindo,3.004,super welter,34,20,6,2,southpaw,NA,Japan,1556,2,W,W,W,D,L,L
Rikuto Adachi,3.002,welter,22,14,2,0,orthodox,Osaka, Japan,1557,2,W,W,W,L,W,W
Emiliano Exequiel Pucheta,3.001,super welter,24,13,4,0,orthodox,Santa Fe, Argentina,1558,2,W,L,W,W,L,L
Marcos Nader*,3.001,middle,30,22,1,1,orthodox,Reichersberg, Austria,1559,2,W,L,W,W,W,W
Joseph Williams,3,cruiser,32,13,0,0,NA,"Far Rockaway, Queens", USA,1560,2,W,W,W,W,W,W
Bojan Aladzic,2.998,welter,29,15,0,1,NA,Nuremberg (Nürnberg), Germany,1561,2,W,W,W,W,W,W
Simon Dladla*,2.998,super welter,NA,6,0,0,NA,Soweto, South Africa,1562,2,W,W,W,W,W,W
Erkan Teper,2.994,heavy,38,21,3,0,orthodox,Ahlen, Germany,1563,2,W,W,W,L,W,W
Brian Norman Jr,2.992,welter,20,18,0,0,orthodox,Atlanta, USA,1564,2,W,W,W,W,W,W
Tony Rashid,2.991,super bantam,27,12,1,2,southpaw,Dar-Es-Salaam, Tanzania,1565,2,W,W,D,W,W,W
Marcus Morrison,2.989,middle,27,23,3,0,orthodox,Hattersley, United Kingdom,1566,2,W,W,W,W,W,W
Norihito Tanaka,2.988,minimum,35,20,8,0,orthodox,NA,Japan,1567,2,L,W,W,W,L,W
Jaime Munoz,2.984,feather,22,8,1,1,NA,Panama City, Panama,1568,2,W,W,L,W,W,D
Rei Nakajima,2.981,middle,22,4,0,0,orthodox,Neyagawa, Japan,1569,2,Blank,Blank,W,W,W,W
Ernesto Salcedo Ortega,2.979,feather,23,11,0,0,NA,Mexico City, Mexico,1570,2,W,W,W,W,W,W
Jeremy Hill,2.975,super light,27,14,0,0,NA,New Orleans, USA,1571,2,W,W,W,W,W,W
Izuagbe Ugonoh,2.975,heavy,34,18,2,0,orthodox,Las Vegas, USA,1572,2,W,W,W,L,W,L
Fadhili Majiha*,2.971,super bantam,27,25,14,4,orthodox,Dar-Es-Salaam, Tanzania,1573,2,L,L,L,W,L,W
Van Thao Tran,2.966,bantam,28,13,1,0,orthodox,Ho Chi Minh City, Vietnam,1574,2,W,W,W,W,L,W
Padraig McCrory,2.965,super middle,32,11,0,0,orthodox,Belfast, United Kingdom,1575,2,W,W,W,W,W,W
Sergei Ekimov,2.963,light heavy,35,18,2,0,orthodox,Khabarovsk, Russia,1576,2,W,W,W,W,L,L
Abraham Montoya,2.954,super feather,26,19,2,1,orthodox,Mexicali, Mexico,1577,2,W,W,W,W,L,W
April Jay Abne,2.953,fly,21,5,0,0,orthodox,Cebu City, Philippines,1578,2,Blank,W,W,W,W,W
Roman Belaev,2.953,welter,30,19,4,0,orthodox,Halle an der Saale, Germany,1579,2,W,L,W,W,W,L
Ezequiel Osvaldo Maderna,2.951,super middle,34,26,6,0,orthodox,La Plata, Argentina,1580,2,W,L,W,W,L,L
